,support,confidence,lhs,rhs,sale,recommendation,profit,mark
1605,0.011000000000000001,0.833,"['剁椒鱼头', '焖猪手', '谷稻小庄', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1684,0.011000000000000001,0.526,"['剁椒鱼头', '爆炒猪肝', '自制猪肉脯']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1664,0.011000000000000001,0.556,"['凉拌菠菜', '白胡椒胡萝卜羊肉汤', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1699,0.011000000000000001,0.7140000000000001,"['凉拌菠菜', '水煮鱼', '辣炒鱿鱼', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1615,0.011000000000000001,0.667,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '芹菜炒腰花', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1934,0.011000000000000001,0.769,"['芹菜炒腰花', '辣炒鱿鱼', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.691
2005,0.011000000000000001,0.769,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1996,0.011000000000000001,0.909,"['孜然羊排', '芝麻烤紫菜']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1673,0.011000000000000001,0.556,"['凉拌菠菜', '香烤牛排', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1635,0.011000000000000001,0.556,"['焖猪手', '爆炒猪肝', '芹菜炒腰花', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1971,0.011000000000000001,0.769,"['剁椒鱼头', '焖猪手', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1643,0.011000000000000001,0.556,"['葱油凉拌藕片', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1688,0.011000000000000001,0.526,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '芹菜炒腰花']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1968,0.011000000000000001,0.625,"['剁椒鱼头', '自制猪肉脯', '芹菜炒腰花', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1694,0.011000000000000001,0.7140000000000001,"['自制猪肉脯', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1663,0.011000000000000001,0.556,"['凉拌菠菜', '辣炒鱿鱼', '香烤牛排']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1669,0.011000000000000001,0.833,"['凉拌菠菜', '孜然羊排', '辣炒鱿鱼', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.691
3,0.061,0.509,['芹菜炒腰花'],自制猪肉脯,0.42,0.86,0.4,6.684
4,0.048,0.738,"['焖猪手', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.658
10,0.044000000000000004,0.631,"['凉拌菠菜', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.651
325,0.018000000000000002,0.531,"['凉拌菠菜', '焖猪手', '蒙古烤羊腿']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.642
498,0.017,0.552,"['焖猪手', '蒙古烤羊腿', '辣炒鱿鱼']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.639
473,0.017,0.552,"['凉拌菠菜', '剁椒鱼头', '焖猪手']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.639
555,0.016,0.6,"['凉拌菠菜', '焖猪手', '蒙古烤羊腿', '辣炒鱿鱼']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.637
26,0.036000000000000004,0.607,"['焖猪手', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.635
25,0.036000000000000004,0.6940000000000001,"['芹菜炒腰花', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.635
737,0.015,0.5379999999999999,"['凉拌菠菜', '剁椒鱼头', '芹菜炒腰花']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.634
33,0.035,0.611,"['焖猪手', '谷稻小庄']",自制猪肉脯,0.42,0.86,0.4,6.633
753,0.013999999999999999,0.684,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '芹菜炒腰花']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.632
750,0.013999999999999999,0.684,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '辣炒鱿鱼']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.632
828,0.013999999999999999,0.52,"['剁椒鱼头', '焖猪手', '辣炒鱿鱼']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.632
37,0.034,0.8,"['凉拌菠菜', '焖猪手', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.631
1016,0.013000000000000001,0.6,"['剁椒鱼头', '焖猪手', '蒙古烤羊腿']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.629
